chip_path,source_image,ulx,uly,width,height
bt/bt-ef-cap-29792.png,cap-29792,10,10,1024,1024
ma/ma-ln-cap-29792.png,cap-29792,10,1936,1024,1024
mq/mq-mv-cap-29792.png,cap-29792,10,3862,1024,1024
qc/qc-to-cap-29792.png,cap-29792,10,5788,1024,1024
sv/sv-kb-cap-29792.png,cap-29792,10,7714,1024,1024
sv/sv-gy-cap-29792.png,cap-29792,2134,10,1024,1024
af/af-kd-cap-29792.png,cap-29792,2134,1936,1024,1024
bf/bf-zl-cap-29792.png,cap-29792,2134,3862,1024,1024
xb/xb-ij-cap-29792.png,cap-29792,2134,5788,1024,1024
pv/pv-sk-cap-29792.png,cap-29792,2134,7714,1024,1024
oo/oo-cs-cap-29792.png,cap-29792,4258,10,1024,1024
pu/pu-fs-cap-29792.png,cap-29792,4258,1936,1024,1024
uk/uk-zu-cap-29792.png,cap-29792,4258,3862,1024,1024
ig/ig-nh-cap-29792.png,cap-29792,4258,5788,1024,1024
sh/sh-zf-cap-29792.png,cap-29792,4258,7714,1024,1024
nh/nh-mo-cap-29792.png,cap-29792,6382,10,1024,1024
ag/ag-oi-cap-29792.png,cap-29792,6382,1936,1024,1024
yb/yb-la-cap-29792.png,cap-29792,6382,3862,1024,1024
so/so-jx-cap-29792.png,cap-29792,6382,5788,1024,1024
fn/fn-ka-cap-29792.png,cap-29792,6382,7714,1024,1024
xp/xp-gl-cap-29792.png,cap-29792,8506,10,1024,1024
ro/ro-ts-cap-29792.png,cap-29792,8506,1936,1024,1024
nv/nv-xg-cap-29792.png,cap-29792,8506,3862,1024,1024
jo/jo-lu-cap-29792.png,cap-29792,8506,5788,1024,1024
xg/xg-gw-cap-29792.png,cap-29792,8506,7714,1024,1024
yq/yq-jk-cap-29792.png,cap-29792,10630,10,1024,1024
ex/ex-xq-cap-29792.png,cap-29792,10630,1936,1024,1024
ry/ry-du-cap-29792.png,cap-29792,10630,3862,1024,1024
pm/pm-lw-cap-29792.png,cap-29792,10630,5788,1024,1024
iv/iv-pr-cap-29792.png,cap-29792,10630,7714,1024,1024
ui/ui-ez-cap-29793.png,cap-29793,10,10,1024,1024
ox/ox-hz-cap-29793.png,cap-29793,10,1936,1024,1024
ws/ws-hf-cap-29793.png,cap-29793,10,3862,1024,1024
dm/dm-tw-cap-29793.png,cap-29793,10,5788,1024,1024
lt/lt-cf-cap-29793.png,cap-29793,10,7714,1024,1024
xu/xu-cm-cap-29793.png,cap-29793,2134,10,1024,1024
iy/iy-jv-cap-29793.png,cap-29793,2134,1936,1024,1024
hr/hr-qx-cap-29793.png,cap-29793,2134,3862,1024,1024
ru/ru-rf-cap-29793.png,cap-29793,2134,5788,1024,1024
ne/ne-vj-cap-29793.png,cap-29793,2134,7714,1024,1024
ni/ni-go-cap-29793.png,cap-29793,4258,10,1024,1024
pa/pa-sp-cap-29793.png,cap-29793,4258,1936,1024,1024
gk/gk-vg-cap-29793.png,cap-29793,4258,3862,1024,1024
en/en-hq-cap-29793.png,cap-29793,4258,5788,1024,1024
qg/qg-zn-cap-29793.png,cap-29793,4258,7714,1024,1024
mq/mq-dn-cap-29793.png,cap-29793,6382,10,1024,1024
no/no-mz-cap-29793.png,cap-29793,6382,1936,1024,1024
wk/wk-ie-cap-29793.png,cap-29793,6382,3862,1024,1024
wg/wg-mq-cap-29793.png,cap-29793,6382,5788,1024,1024
yv/yv-xz-cap-29793.png,cap-29793,6382,7714,1024,1024
fg/fg-yh-cap-29793.png,cap-29793,8506,10,1024,1024
jw/jw-cb-cap-29793.png,cap-29793,8506,1936,1024,1024
lt/lt-cw-cap-29793.png,cap-29793,8506,3862,1024,1024
dt/dt-yy-cap-29793.png,cap-29793,8506,5788,1024,1024
dc/dc-jf-cap-29793.png,cap-29793,8506,7714,1024,1024
ue/ue-xv-cap-29793.png,cap-29793,10630,10,1024,1024
dj/dj-rb-cap-29793.png,cap-29793,10630,1936,1024,1024
cl/cl-mp-cap-29793.png,cap-29793,10630,3862,1024,1024
rr/rr-du-cap-29793.png,cap-29793,10630,5788,1024,1024
ae/ae-jc-cap-29793.png,cap-29793,10630,7714,1024,1024
xv/xv-vm-cap-29794.png,cap-29794,10,10,1024,1024
bw/bw-zv-cap-29794.png,cap-29794,10,1936,1024,1024
of/of-xl-cap-29794.png,cap-29794,10,3862,1024,1024
it/it-cn-cap-29794.png,cap-29794,10,5788,1024,1024
lc/lc-xu-cap-29794.png,cap-29794,10,7714,1024,1024
ka/ka-hk-cap-29794.png,cap-29794,2134,10,1024,1024
hp/hp-iv-cap-29794.png,cap-29794,2134,1936,1024,1024
sd/sd-vq-cap-29794.png,cap-29794,2134,3862,1024,1024
dj/dj-pp-cap-29794.png,cap-29794,2134,5788,1024,1024
gb/gb-ya-cap-29794.png,cap-29794,2134,7714,1024,1024
ea/ea-cw-cap-29794.png,cap-29794,4258,10,1024,1024
tu/tu-gz-cap-29794.png,cap-29794,4258,1936,1024,1024
vn/vn-fq-cap-29794.png,cap-29794,4258,3862,1024,1024
ik/ik-xe-cap-29794.png,cap-29794,4258,5788,1024,1024
vo/vo-jl-cap-29794.png,cap-29794,4258,7714,1024,1024
